TransactionID,Item1,Item2,Item3
T1,Tomato,Potato,Cucumber
T2,Apple,Grapes,Watermelon
T3,Carrot,Broccoli,Spinach
T4,Banana,Pineapple,Mango
T5,Orange,Lemon,Strawberry
T6,Tomato,Potato,Cucumber
T7,Apple,Grapes,Watermelon
T8,Carrot,Broccoli,Spinach
T9,Banana,Pineapple,Mango
T10,Orange,Lemon,Strawberry
T11,Tomato,Potato,Cucumber
T12,Apple,Grapes,Watermelon
T13,Carrot,Broccoli,Spinach
T14,Banana,Pineapple,Mango
T15,Orange,Lemon,Strawberry
T16,Tomato,Potato,Cucumber
T17,Apple,Grapes,Watermelon
T18,Carrot,Broccoli,Spinach
T19,Banana,Pineapple,Mango
T20,Orange,Lemon,Strawberry
T21,Tomato,Potato,Cucumber
T22,Apple,Grapes,Watermelon
T23,Carrot,Broccoli,Spinach
T24,Banana,Pineapple,Mango
T25,Orange,Lemon,Strawberry
T26,Tomato,Potato,Cucumber
T27,Apple,Grapes,Watermelon
T28,Carrot,Broccoli,Spinach
T29,Banana,Pineapple,Mango
T30,Orange,Lemon,Strawberry
T31,Tomato,Potato,Cucumber
T32,Apple,Grapes,Watermelon
T33,Carrot,Broccoli,Spinach
T34,Banana,Pineapple,Mango
T35,Orange,Lemon,Strawberry
T36,Tomato,Potato,Cucumber
T37,Apple,Grapes,Watermelon
T38,Carrot,Broccoli,Spinach
T39,Banana,Pineapple,Mango
T40,Orange,Lemon,Strawberry
T41,Tomato,Potato,Cucumber
T42,Apple,Grapes,Watermelon
T43,Carrot,Broccoli,Spinach
T44,Banana,Pineapple,Mango
T45,Orange,Lemon,Strawberry
T46,Tomato,Potato,Cucumber
T47,Apple,Grapes,Watermelon
T48,Carrot,Broccoli,Spinach
T49,Banana,Pineapple,Mango
T50,Orange,Lemon,Strawberry
T51,Tomato,Potato,Cucumber
T52,Apple,Grapes,Watermelon
T53,Carrot,Broccoli,Spinach
T54,Banana,Pineapple,Mango
T55,Orange,Lemon,Strawberry
T56,Tomato,Potato,Cucumber
T57,Apple,Grapes,Watermelon
T58,Carrot,Broccoli,Spinach
T59,Banana,Pineapple,Mango
T60,Orange,Lemon,Strawberry
T61,Tomato,Potato,Cucumber
T62,Apple,Grapes,Watermelon
T63,Carrot,Broccoli,Spinach
T64,Banana,Pineapple,Mango
T65,Orange,Lemon,Strawberry
T66,Tomato,Potato,Cucumber
T67,Apple,Grapes,Watermelon
T68,Carrot,Broccoli,Spinach
T69,Banana,Pineapple,Mango
T70,Orange,Lemon,Strawberry
T71,Tomato,Potato,Cucumber
T72,Apple,Grapes,Watermelon
T73,Carrot,Broccoli,Spinach
T74,Banana,Pineapple,Mango
T75,Orange,Lemon,Strawberry
T76,Tomato,Potato,Cucumber
T77,Apple,Grapes,Watermelon
T78,Carrot,Broccoli,Spinach
T79,Banana,Pineapple,Mango
T80,Orange,Lemon,Strawberry
T81,Tomato,Potato,Cucumber
T82,Apple,Grapes,Watermelon
T83,Carrot,Broccoli,Spinach
T84,Banana,Pineapple,Mango
T85,Orange,Lemon,Strawberry
T86,Tomato,Potato,Cucumber
T87,Apple,Grapes,Watermelon
T88,Carrot,Broccoli,Spinach
T89,Banana,Pineapple,Mango
T90,Orange,Lemon,Strawberry
T91,Tomato,Potato,Cucumber
T92,Apple,Grapes,Watermelon
T93,Carrot,Broccoli,Spinach
